start	end	text
805	1626	That was fun.
2546	4007	Let's play another game.
4848	6549	This time you are guessing.
7470	9031	I am thinking about an animal.
10052	13294	Does the animal usually swim in water?
15316	17678	Please start asking me questions.
18899	20980	Does the animal live in water?
25243	27385	No, it does not reside in water.
28388	31369	Hope you're not fishing for clues in the wrong pond.
32569	34350	Does your animal fly?
36050	37210	Swiftly checking.
38911	40351	No, it does not fly.
41692	45073	Seems like your guesses are having a bit of turbulence.
45913	49534	Does your animal usually reside in Europe?
51194	53255	Excuse me, I need to think a bit.
53975	55676	Yes, it can reside in Europe.
56436	56796	Eureka.
57802	59943	somewhat closer to the truth you are.
62245	65146	Is your animal usually kept as a pet?
67148	67908	Let me see.
71530	73732	Yes, it is usually kept as a pet.
74932	76593	You're barking up the right weight.
76773	78514	I'm not supposed to say that.
79115	80896	Keep fetching those questions.
82777	86119	Is your animal carnivorous?
92557	93818	You have to say something.
94499	95940	Is your animal carnivorous?
99884	101345	Yes, it is carnivorous.
102386	105069	Salivating at the rate scent I see.
108152	112536	Does your animal... Is your... Swiftly checking.
116265	119286	I think you might have missed a part of your question there.
119666	120166	Yes, I did.
120186	122687	That was certainly a mysterious attempt.
126147	127928	Is your animal a type of cat?
133589	135609	No, it is not a type of cat.
136530	139070	You're barking up the wrong tree with that guess.
139990	142351	Try a different category, perhaps.
143751	145416	Is your animal a type of dog?
147864	150050	Yes, it is a dog you guessed correctly.
150933	153200	This concludes this round of the game.
