start	end	text
694	2315	Hi there, let's play 10 questions.
6096	8798	Is the animal you're thinking of typically kept as a pet?
9638	9858	Yes.
12359	13119	Ah, fantastic.
13640	14820	That certainly narrows it down.
22584	25825	Is the animal you're thinking of small enough to be held in your arms?
27406	27906	Of course, yes.
30069	31991	A wonderful that narrows it down quite a bit.
36615	38336	Is this animal a type of rodent?
40878	41739	I'm not quite sure.
41759	46063	Okay, then back to the drawing board it seems.
49486	50627	Does this animal have fur?
51548	51748	Yes.
54210	54830	Ah, splendid.
56712	57573	That narrows it down.
61428	62549	Does this animal have fur?
63630	63850	Yes!
66192	66792	Ah, that's great.
67413	68614	Seems like I'm getting closer.
74759	76520	Is it known for its ability to purr?
80444	81444	Can you repeat that again?
83626	85888	Is it known for its ability to purr?
86769	87449	To purr?
87469	88430	What does that mean?
90100	90960	I'm gonna skip this.
91921	95342	Is the animal primarily a carnivore known for eating meat?
95982	97502	No, I don't think so.
99843	100283	Uh, no?
100923	103084	Alright, I need to consider other options.
103724	105645	I mean, yes, but not raw meat.
108186	109286	Is it a type of bird?
110907	111307	No.
111327	117869	Well, if I thought I was out to do something interesting, let's see, what else could it be?
122540	124862	Does this animal commonly reside indoors?
125402	131286	Yes, both, but more or less indoors, yeah.
131546	132667	Okay, I'm getting warmer with this.
137610	142113	Is this animal prone to climbing or jumping onto elevated surfaces like furniture?
144815	147196	It depends on what species.
151573	153115	Some yes, some no.
159785	163010	I have asked my questions and have failed to guess correctly.
163851	165934	This concludes this round of the game.
166715	168097	I'll try again next time.
