start	end	text
785	1566	That was fun.
2386	4007	Let's play another game.
4808	6529	This time you are guessing.
7469	9070	I am thinking about an animal.
11752	13974	Is the animal larger than a human?
19697	21859	Yes, it is larger than a human.
22699	25201	You're not sizing me up to quickly, are you?
28143	29524	Does the animal live on land?
31167	31707	Let's see.
36948	39069	Yes, it does reside on land.
40269	43550	Absolutely towering over the competition with that guess.
48531	49431	Just a second.
51852	54672	Is it a domesticated animal?
56072	58193	Yes, it does reside on land.
59215	61476	You're not beating around the bush, are you?
62097	62677	Good job.
64378	66039	Is it domesticated?
66299	67259	A domestic animal?
68760	69300	Hold on.
71481	73703	No, it is not a domestic animal.
74803	78125	Looks like someone's barking up the wrong family tree.
82227	83848	Is it a carnivore?
85369	86009	Quick scan.
88835	90116	No, not a carnivore.
91477	94319	You might want to sharpen those claws of thought.
100123	101284	You have to say something.
101304	103705	Is it a lot heavier than a human?
105286	106207	Just a second.
110730	113512	Yes, it is significantly heavier than a human.
114560	117581	You're definitely not lightweight in your questioning.
118781	120121	Is it an elephant?
121702	122202	Hold on.
124982	127183	No, your guess is not correct.
128063	130623	Keep trunkting along with those questions.
135164	135885	Quick scan.
140186	142186	Is the animal dangerous to humans?
147472	150533	No, it's not considered dangerous to humans.
151553	154394	Don't worry, you won't need any armor for this one.
159916	164797	Does the animal have any patterns on itself?
166458	167618	Reflecting on that.
179710	182355	You have asked 10 questions and have to guess.
183076	184539	It's the animal, a giraffe.
186923	188867	I am sorry you guessed wrong.
189909	192193	This concludes this round of the game.
